"","alpha_0","alpha_1","alpha_2","mu_1","mu_2","sigma_1","sigma_2"
"2",0.0282323368581238,0.915022994213922,1.09684831192223,1.00014638621852,1.00047666360991,0.425665018480388,0.571434464663041
"3",0.0282130943288229,0.915460019963777,1.09619887182138,1.00014638621852,1.00047666360991,0.42606383350906,0.570772909038797
"4",0.0282907570097938,0.915638115721487,1.09611418164073,1.00014638621852,1.00047666360991,0.426284299750069,0.570711998393169
"5",0.028324357796002,0.915729622955897,1.09626798152148,1.00014638621852,1.00047666360991,0.426393311484084,0.570876135310541
"6",0.0283449914941959,0.915063249079863,1.09695792978418,1.00014638621852,1.00047666360991,0.425779215731599,0.571581365653336
"7",0.0283779584000511,0.915586765849178,1.09625023188152,1.00014638621852,1.00047666360991,0.426294952931548,0.570877806770286
"8",0.0284288886053299,0.91572674946076,1.09651281619802,1.00014638621852,1.00047666360991,0.426461397925122,0.571156116775333
"9",0.0283108070922203,0.915129804246096,1.09676499160984,1.00014638621852,1.00047666360991,0.425818789811283,0.571375991142087
"10",0.0282937456426664,0.915520292545543,1.09634613281484,1.00014638621852,1.00047666360991,0.426175252771158,0.570946524679157
"11",0.0284166427199801,0.91515684605499,1.09689691843188,1.00014638621852,1.00047666360991,0.425915930867835,0.571543098931846
"12",0.028280115644315,0.915610364481406,1.09608495605088,1.00014638621852,1.00047666360991,0.426250935135652,0.570679509011697
"13",0.028206593235455,0.91572697147452,1.09584605664182,1.00014638621852,1.00047666360991,0.426311068319887,0.57041461136786
"14",0.028280990788773,0.915071833990777,1.09691445325378,1.00014638621852,1.00047666360991,0.425743971779611,0.571516383417247
"15",0.0283535710612598,0.915607444540965,1.09619984555618,1.00014638621852,1.00047666360991,0.426297929429737,0.570819010718998
"16",0.0283969451130741,0.915141101332718,1.09711264970103,1.00014638621852,1.00047666360991,0.425887743416376,0.571752791845275
"17",0.0282913188923503,0.915097764326412,1.09655339035094,1.00014638621852,1.00047666360991,0.425775416986112,0.571157957189778
"18",0.0283875580393877,0.915144841442438,1.09700089988217,1.00014638621852,1.00047666360991,0.425884917380857,0.571637684198169
"19",0.028449013591312,0.915496176682852,1.09652794963908,1.00014638621852,1.00047666360991,0.426257676453671,0.571180560668379
"20",0.0283699592383661,0.915146002106194,1.09713980103591,1.00014638621852,1.00047666360991,0.425874085814747,0.571770934009529
"21",0.028288219595418,0.915139936133228,1.09656579572925,1.00014638621852,1.00047666360991,0.425813053266093,0.571168874846313
"22",0.0283664961057756,0.91511216303747,1.09689203667633,1.00014638621852,1.00047666360991,0.42583986931304,0.571521991490799
"23",0.0282543853709691,0.915664995879827,1.09600905147668,1.00014638621852,1.00047666360991,0.426285008484113,0.570594353366048
"24",0.0284355397599482,0.915578216884224,1.09670881480447,1.00014638621852,1.00047666360991,0.426325871425544,0.571356275187696
"25",0.0282310068903753,0.915059293520344,1.09667107909071,1.00014638621852,1.00047666360991,0.425698327326169,0.571256131544173
"26",0.0283651036743734,0.916001342983891,1.09605700335308,1.00014638621852,1.00047666360991,0.426677109875716,0.570675444560193
"27",0.0282252657283039,0.915527902332926,1.09614513922302,1.00014638621852,1.00047666360991,0.42613605770963,0.570722415318542
"28",0.0283595948522085,0.915161556333781,1.09674620416798,1.00014638621852,1.00047666360991,0.425881746366112,0.571373084008636
"29",0.0282262937004594,0.915624321447022,1.09586308678459,1.00014638621852,1.00047666360991,0.426227649989921,0.570439353741529
"30",0.0282965959010986,0.9155359694719,1.09604958020017,1.00014638621852,1.00047666360991,0.426191976199286,0.570650411840096
"31",0.0283046237570525,0.915074605778989,1.09675720609595,1.00014638621852,1.00047666360991,0.4257625940482,0.571366750483792
