alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
2.187953922697205,1.4312770248547761,1.3678838088626437,1.0000809107125512,2.000019622488808,0.45146622170730827,0.5289157054372097
1.8147551032185585,1.3156460755690575,1.3018277461060626,1.000164218511744,2.0003634388343814,0.3953145651284338,0.46489111771375885
2.131566005513814,1.6501323474376803,1.6174129960023569,1.0000516882155486,2.0000314701582935,0.49908069886976464,0.5614743028206162
2.276657410439467,1.3197899262148667,1.5153838953879248,1.0000094111098208,2.000176527188227,0.433177531349841,0.5298694660289874
2.1188477666850885,1.372399354471473,1.4715186772399773,1.0000267356953687,2.000200030697061,0.42997917073960484,0.5324606496914085
1.8622489540496778,1.9919020759290218,1.2924791679957048,1.0000377873467836,2.000091053118509,0.4873503365600645,0.4408954928633841
1.8185129913840385,1.152034053311819,1.6899262785601739,1.0000082347890742,2.000010293486343,0.3651677757341583,0.5073508421336722
2.047697647564246,1.26589334411261,1.7031721819642802,1.0000018657674237,2.0000023322092795,0.4060935660584711,0.5641999283859235
1.836800715196695,1.0715138135546807,1.4454760309594992,1.0000526617133303,2.000065827141663,0.3508434407482939,0.487826374205851
1.9720026349548903,0.9896533826456302,1.20915999667501,1.0000201181184147,2.0000849074810736,0.36281595705454145,0.46266365237090074
2.0951744161227364,1.15058022493716,1.6327893098447752,1.0000561631403873,2.000070203925484,0.4128951946478466,0.535045636829676
2.183892311180947,1.303119483283943,1.5652139195404986,1.000008693801362,2.000110918859235,0.45642387027747455,0.5767944785568762
1.7966268600784776,1.455764820230273,1.4190873236793833,1.0000427396581009,2.000088862777365,0.3982664742278606,0.4566521730565915
1.8115114369611671,1.2089456718650893,1.298738950559911,1.000033056317755,2.0000413203971936,0.370219162682538,0.4429877191172946
2.0958548249901137,1.3092009995227727,1.854005844586311,1.0000500396380638,2.0000625495475797,0.42505520070626557,0.5837638996495724
2.0239281622371488,1.2140505183176766,1.6627606295943247,1.000160844036492,2.0000171059348286,0.39907629081485474,0.5179966726592833
1.8623600796545736,1.365995865750239,1.2998611165226253,1.0000754958661757,2.00009436983272,0.4051427275876983,0.4677144946084804
1.9370784641243293,1.2609617180855113,1.3543317962958754,1.0000219856807135,2.000027482100892,0.39728545469033494,0.48550389939898075
1.8470149644045326,1.983609878239971,1.4053802221322869,1.0000636387090767,2.0000795483863456,0.5189355678528618,0.4790213685517952
