alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
1.9691372057104386,1.2972413458432899,1.3427132341371542,1.0000546544938773,2.0000328181407787,0.4144472449654292,0.4859445625318136
2.009328999672333,1.2954491629715228,1.5103572024873866,1.0000009782916361,2.000001222864545,0.4178305154349229,0.516066794166818
1.8511332457157599,1.1809395359868484,1.659807649154046,1.0000127655436084,2.0000159569295106,0.3768831053014564,0.5283293571572671
1.9135343312222945,1.1607353804829175,1.261924469017177,1.0001523342321779,2.0002049938634396,0.3674696569522561,0.45520582556753486
2.005905753135707,1.2472926135200835,1.7523922522562645,1.0000644954964157,2.00008061937052,0.41213438027814314,0.5751925940420217
1.9308597520277189,1.3265689877005598,1.2178766719672,1.0000443710796678,2.0000468887471436,0.3907560665736715,0.43843445611960774
1.8607022140691236,1.140800987340642,1.8795736262685245,1.0001053459113354,2.000053961677202,0.3662309337074051,0.5532936550580126
1.7872286594356135,1.3299706136624239,1.263115654087232,1.0000072204198842,2.0000090255248555,0.3873828589023966,0.433984398493061
1.9019030780811592,1.1228589418642212,2.1113169153302103,1.0000243445574664,2.0001465411281165,0.3587116332130654,0.5921203585016335
1.8951939518630578,1.40345791949036,1.3608321715266378,1.0000139669710728,2.0000934303907267,0.4176406181408432,0.4709323502152453
1.9452678989934657,1.5226505035013522,1.3879927123888716,1.0000229610713136,2.0000063596903974,0.46893130933800736,0.5163655628004872
1.9634195511599501,0.9935742534871085,1.414831810480215,1.00002133730915,2.0000266716364377,0.3518554158286016,0.4826106760517811
1.8293224221287183,1.3231408305443109,1.2898951928981486,1.000039960908167,2.0000499511352086,0.39961936307646784,0.4621131057890033
1.8539458887552034,1.1084095433327557,1.6130337206267356,1.0000037614255124,2.0000047017818905,0.37058580932421936,0.5046667050235082
1.8815832607154526,1.2933505996609196,1.2703419515501482,1.0000035893685226,2.0000044867106532,0.3965794811070589,0.4569672089385505
1.8031584067046487,1.7284371740288866,1.2898600778391984,1.0000310988040257,2.000033938609089,0.46854932704623636,0.4584490251689238
1.845251714105607,1.1210950546654777,1.4598967664244888,1.0000048056021071,2.0000133027268863,0.33925767393194145,0.4592955108490966
2.2477895722864427,1.4999232170613424,1.6017822655458755,1.0000397545121409,2.000049693140176,0.4789351908421703,0.5684159668647785
1.7847616303849376,1.06595799022144,1.7574960935304922,1.0001172386799764,2.000000531810077,0.33881948530436823,0.5093634907962139
1.9227098872187491,1.20171036214033,1.349111423650361,1.0000240253221817,2.0000300316527273,0.38375812118296815,0.48242037974558205
1.8436816049682003,1.1833435979563438,1.3502053626247135,1.0000430924696673,2.000053865587084,0.36557464884860885,0.4817024209372496
1.7471383109256415,1.0623130222520485,2.0111001847923844,1.0000342740137538,2.0000505136652533,0.33885415736566527,0.5673303744961364
2.011697668605729,1.2698815324736585,1.6163403400742995,1.0000918177309557,2.000027418799319,0.4222308206474889,0.5507697565762956
1.7648455702979808,1.5941241348708597,1.198591531339132,1.0000401606633242,2.0000502008291554,0.4285552826128345,0.423046154845561
1.8545139994451838,1.401300743559315,1.3294300541427495,1.0000313384393604,2.000035386470623,0.40156211294807637,0.44975558789130576
2.102495374919997,1.2864449351382874,2.012111820355577,1.0000590753032228,2.000028401398795,0.44212080395263187,0.63050816372373
1.7186510166749691,1.017123385899237,1.923534788896819,1.0000037351557705,2.000004668944713,0.3291444164748777,0.5432046700643324
1.83160399915281,1.4889871268636357,1.2471238164126364,1.0000108302861443,2.0000838516592205,0.435769267825518,0.4471994776687578
2.111628150350792,1.3112038284170588,1.6915176090487705,1.0000920032131804,2.00013695361488,0.4371857143517068,0.5674507748817906
1.7933301024406758,1.0772315631991347,1.3595548713599204,1.0000042551899462,2.0000053189874327,0.33861734584595377,0.4477639905769818
1.8508918986435485,1.1428806474405397,1.2164744459026922,1.000025652618044,2.0001214387063904,0.3858760604268929,0.472540602284701
1.856621976536806,1.2533497376112561,1.3444319135159584,1.0000132722184671,2.000016590273084,0.3841229530083741,0.460312494102386
2.0128055274289878,1.3061262253582953,1.463871143540771,1.0000308859012803,2.0000386073766006,0.41741209705307264,0.504628372012561
1.9435877354460145,1.19323265647321,1.5660175268971588,1.0001008923538628,2.000012371582342,0.3902322592431189,0.510868461893113
1.8854241251583115,1.102784784532319,1.6734205270930416,1.000022261853089,2.0000278273163614,0.35640749975883956,0.5249209765946167
