alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
1.7868500792720392,1.0512397011816172,1.5244885616525465,1.0000230891548378,2.0000537872236914,0.35420148225760495,0.48648610685124893
2.0260336535881227,1.4534959487775774,1.3350489494514666,1.0000108762348359,2.0000135952935447,0.4515335350216424,0.5119592883954561
1.9122940378793976,1.0919663055102935,1.3121371199828282,1.000027380861324,2.000034226076655,0.37073205603253223,0.4731949052398698
1.9406645059345105,1.1923162900615054,1.3448189659168448,1.0000282146395547,2.0000352682994436,0.4009998441640909,0.500166471452454
1.7411199862037374,1.1263590229528195,1.2033445399922522,1.0000402284102368,2.0000313424219796,0.3519930863270375,0.41926735069531595
1.8782982040185752,1.6275579632237391,1.4049529116956834,1.0000067165614848,2.000007101765501,0.4558635610929956,0.473009471235888
2.1243901634572504,1.5665447550120961,1.4948276149711837,1.0000085828132228,2.0000107285165285,0.48527735570377667,0.5552674364688575
1.9178999350672166,1.9505744434084458,1.3439556287305816,1.0000055005625883,2.000006875703235,0.5072783986860879,0.4861146361511008
2.0508669145264853,1.323491806115547,1.3491693492247148,1.000007583519452,2.000009479399315,0.42656771578782493,0.5022187865035532
1.9491539014742385,1.1847476018982979,1.4022663759354572,1.000008360303327,2.0000104503791585,0.39039456694415303,0.46869814517695957
1.8227246862756967,1.1598148364642529,1.6170946879747492,1.0000089602169968,2.000011200271246,0.3666388105765835,0.5030816122749624
1.8396763831352354,1.332471769230672,1.4833085351068656,1.000060792863011,2.0000731258395548,0.39672825433608955,0.4811892469092887
1.9274763370057366,1.4960504195404871,1.344963257052534,1.000002122049418,2.0000026525617725,0.42200180107350155,0.45652104373622215
1.9697649647528914,1.1124130201785625,1.3195108548321355,1.0000126467443855,2.000015808430482,0.37676271474322426,0.46756062527710035
1.866998677288324,1.1832216943614635,1.645720121075851,1.0000131996975592,2.000016499621949,0.3562622496298439,0.5091423077638179
2.098139598434816,1.3053865172171064,1.4314302356483442,1.0000540632649098,2.0000675790811373,0.4542260513407289,0.5296956758109359
1.9771887806260522,1.5816329173803187,1.4977757020240765,1.0000042682026273,2.000005335253284,0.461644774284358,0.5063854744186537
1.815625005455802,1.290460391998246,1.3148663263279885,1.000023971389713,2.0000268204020264,0.38812219205779114,0.4475881776700303
1.9535070922589086,1.1530888087729618,1.6054865481358114,1.0000208472212573,2.0000260590265717,0.38098467436077543,0.5239626031768159
1.8931771800993193,1.2207448284222089,1.3915246671878803,1.00006810908555,2.0000002581198753,0.4012457916397702,0.4871158692099907
1.8540436252432484,1.0552453994717976,1.5462972750550632,1.0000365462436605,2.0000148583438477,0.3601738038353601,0.4997771792696615
2.0642916041874755,1.310247230069203,1.4971020675648565,1.000006435957527,2.0000238861875346,0.42077397254640503,0.5371324254353783
1.9054384044815742,1.1190242362198055,1.3162848071965338,1.0001085208733091,2.0001356510916364,0.3729379848479372,0.4618806532175145
2.1963986115676057,1.3116042188844823,1.7423431829494747,1.0000421814149458,2.0000527267686823,0.4556110352829349,0.6105662182738609
1.9591597823412361,1.0472625910557356,1.5335589096343811,1.000036388738436,2.000045485923045,0.35980975193095394,0.5024619876469216
1.987395571143602,1.137059243421851,1.4632376415621677,1.000153820815684,2.0000099119367203,0.39737568971282156,0.49802937183420465
1.9844776581977153,1.133299299153793,1.434710877950157,1.0001792462304733,2.0000243049461863,0.3914897004558893,0.5005801628299228
