alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
2.144457673596974,1.3348156828364754,1.5927336591579269,1.0000208964759896,2.000026120594987,0.4429688823415327,0.5690429624954763
2.0857573662873294,1.2762830829016407,1.7227115393139574,1.00000384685235,2.000008542102614,0.4231439777403325,0.5772354757470113
1.8612415302012715,1.4653713251342637,1.3934084986365696,1.0000238623490436,2.0000298279363045,0.4192796097465306,0.47102595153226295
1.8360728893379805,1.463995965698828,1.2611265361016895,1.0000165735107864,2.000020716888483,0.42268825977193536,0.4498287245531875
1.8060908830816655,1.295706656980453,1.2679692295744773,1.0000201099548953,2.000025137443619,0.38479390848427786,0.4437676291434504
1.9431690983321168,1.1301246675970866,1.5610538589100236,1.0000094002165745,2.000037630010645,0.38582335679604707,0.5177467253196605
1.9507888250975065,1.176554170870751,1.539010955009146,1.000013841449646,2.000014683984104,0.38533784589534775,0.4988100306509681
2.0204727189417686,1.2157404980368003,1.6449412259311353,1.0000112158693109,2.0000542017610927,0.42519673777650124,0.5619767378984696
2.12968367350536,1.198367674166809,1.507279783975634,1.0000246784201963,2.0000631444129273,0.4231063203741891,0.5534624258862944
1.9237779670955255,1.1648205369624445,1.5790195423440716,1.000008358646436,2.000010448308045,0.38621470224493676,0.5394292754153875
1.833395783921548,1.2353100809462547,1.2906448319407855,1.0000357083258111,2.000044635407264,0.3790302999766699,0.43998911704915966
2.0812020088380665,1.3045651543199885,1.5292572839509617,1.0000052599901663,2.0000554998994615,0.4327668167183346,0.5450741842901202
1.912802928123563,1.125054096311522,1.4157771319536863,1.0000103234174793,2.0000129042718493,0.3682146974247723,0.481330614976303
2.111921361714518,1.2890477008762955,1.6875171447081652,1.0000592955413996,2.0000741194267495,0.4216449858595336,0.5712477137042725
1.824878649698678,1.0826419701629864,1.2885817378357494,1.0000107716675461,2.0000134645844327,0.3563046677707459,0.44776934976155264
1.9647443074385893,1.2745729582048098,1.3504607270400424,1.0000033804620634,2.0000042255775794,0.4030777507333537,0.4817823915182198
1.9849890567816155,1.5175126598726476,1.4590038932544807,1.0000924489038137,2.0001087341003694,0.448675074651702,0.5206201174261892
1.9713067963974946,1.558884575220658,1.478479448493805,1.0000187038730384,2.0000060546198077,0.456985620699122,0.5135739662188076
