alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
1.0359135408870601,0.3182286521025472,1.4449615761328551,3.634695946264088e-05,1.817347973132044e-05,1.0836919060538095,0.5299704410022518
0.9861763952555236,0.311975980934074,1.3962005342704686,9.099414828472874e-05,8.255191171757659e-07,1.0022564560036953,0.49260575034130677
0.9784974963046315,0.2988691464073251,1.32598666834222,0.000308494013906202,3.3780247393755403e-06,0.9606827032822184,0.47772744531193795
1.020240936186828,0.3085618584673592,1.4581684898755198,7.981598171746818e-05,3.990799085873409e-05,1.030838843659158,0.5403393767784949
0.9078385839452977,0.40367363351584123,1.2390920728607417,5.936735462097609e-05,2.9683677310488044e-05,0.9973973451068013,0.42681709718545796
0.9366663754357935,0.3083138284567905,1.2889918475793742,0.00022879336104608683,0.00011439668052304341,0.9044167405568685,0.45380498009793196
0.9624209183517366,0.3244540022184333,1.4154281188657996,1.8311179850405424e-05,9.155589925202712e-06,1.0163450442005932,0.48845648470084013
0.9521700578486562,0.3034289211516177,1.3576200542983143,8.831441844314725e-05,4.415720922157362e-05,0.9647230502767951,0.4687475160543162
1.000688530663207,0.2912513552227883,1.4222986728676583,0.00012143968240851954,6.071984120425977e-05,0.9882072729923298,0.5022579708593393
0.9714668435718213,0.26376542182666574,1.3640904547666284,1.3840151518618171e-05,6.920075759309086e-06,0.9297410396378119,0.474627154134135
0.9692123225871072,0.3341128064817689,1.400887972629684,6.131409026943757e-05,3.0657045134718786e-05,0.9814874333588967,0.4839844700928749
0.9450880648044446,0.3507057802920537,1.3994722642068957,1.0618168690523788e-05,5.309084345261894e-06,0.9843537175919349,0.4650477999594975
1.0057165996824209,0.3466088147911106,1.5389524744577843,0.0003752579649978216,6.262375701582279e-05,1.087019441841444,0.5658963844175972
0.868230282598748,0.431080891927567,1.2296221479251588,0.0007673725956116595,5.495350722783954e-05,0.987418865552419,0.41743322675115
0.9340372938776025,0.32730174268357554,1.3919991151311266,0.00015740565109179094,1.475503636694242e-05,0.9973642057552651,0.48626892339106625
0.9838048253812448,0.30963119893226987,1.4688071968960634,0.00016620045563020547,9.919025959070904e-05,0.9919028838680984,0.5083591484517745
0.9087312912352979,0.2863735942719064,1.3446024487959278,4.951483078063923e-05,1.8315026588888728e-05,0.8843970363359412,0.4586439718442288
0.9859019383018824,0.3034358800353441,1.5188324200720884,4.041701032875267e-05,2.0208505164376334e-05,1.007015461525255,0.523388562554153
0.9858035932169279,0.266016959244012,1.5002480699705882,0.00013764055334974934,5.4619555761581395e-06,0.9751291100214938,0.5225533669943543
0.9410804840734707,0.38066019712979887,1.3535699291297771,0.00015661934924349197,1.6801049495751563e-05,1.044389544812535,0.46581876624233043
1.0384714168741238,0.2885750375011282,1.4602872026154083,8.408567976059267e-05,4.2042839880296334e-05,1.0504303475929673,0.523455708978731
0.929081833751611,0.33984599111387553,1.2927525344786188,5.360204862792095e-05,2.6801024313960475e-05,0.9421129864026428,0.43960165654297156
1.0024155073406857,0.2976365284367642,1.3507239553586052,0.00018109488779360916,8.374272906930269e-05,0.9911940376464391,0.48308894275467223
0.9928972365552476,0.4210035225426774,1.331375587364479,7.983693028834615e-05,3.9918465144173076e-05,1.1299464868609395,0.4803132228591666
0.9300643544194501,0.35302953285668104,1.309765853828103,7.182913317027584e-06,3.591456658513792e-06,0.952454544001827,0.45332572048668157
1.029171515610953,0.3084381703395766,1.4947661472001248,9.629638419328401e-06,4.814819209664201e-06,1.0250746422942256,0.5292031879351985
0.9764824516349874,0.30190927796905886,1.3642091193450656,0.00015501172207277314,4.327402347237275e-06,0.9809473978434323,0.47829716921872795
1.0148083892713358,0.29474557531333134,1.3829797625104163,3.929624617882155e-05,1.9648123089410774e-05,0.9633911415201757,0.49395512457608526
