alpha0,alpha1,alpha2,mu1,mu2,sigma1,sigma2
0.7433777124925525,2.141913082027439,2.210069249885939,1.0004184792054367,1.000217554748505,0.8618233943439015,0.9696828631348777
0.704586182298619,4.378162253853588,1.9286336058088973,1.0021149222020973,1.001628488565034,1.604354599320855,0.810604900574961
0.8909318195398221,1.5176998946577969,2.561663139665226,1.0008655197545706,1.0017393196671665,0.7858127045547698,1.0306895166661605
0.9812368272279787,2.152121493314038,5.417729439806545,1.0013455302236738,1.0007360227014757,1.0386894703642184,2.191729342419239
0.9855026128678249,1.7604736714944214,3.7811428148059476,1.0006998102070686,1.0017641076013717,0.9376617571031786,1.8179919436541898
0.7399392060059344,2.5735275529380908,1.7249927897266468,1.0000656540832356,1.0015343713422167,1.0250152820240894,0.8066126520504052
0.27188817166674073,3.414951540918262,2.100990220837647,1.0043707304983192,1.001290993454442,1.3352165855414897,0.6716473105007412
0.8507572161800214,2.040972396934589,1.9966169182003204,1.0024883622592389,1.0006272317626932,1.0195462443494623,0.9394732179074399
1.588493556078094,2.3151773619874754,2.1594001926440636,1.0028241611560353,1.0001281522216203,1.3315500935651137,1.3491238914999577
0.7984435938978034,1.693753239278904,2.2262689018806805,1.0013044371878719,1.0016645038408063,0.7210712602548432,0.915872866823539
0.5189097360797355,2.1816384059726994,1.8744652727143722,1.0001964349129793,1.0001964349129793,0.8724959905708379,0.6699958412462065
1.4019230554105497,2.148336272415198,2.601173291210526,1.0025508244138859,1.0004064501949477,1.3021248658884312,1.3827670905011473
0.6778831495450033,4.692032882578685,1.5067856974193492,1.0001805061160907,1.0009571644038746,2.12466787388006,0.7327899959065135
0.779845244252965,1.263637572162446,2.9170332468977236,1.0089109953451616,1.0029658131315604,0.5934872073826933,1.533633275619078
0.9788226219087186,1.1412997872662616,1.847048061355861,1.000725991071093,1.0001918393373515,0.669600089291395,0.8305372759228326
0.8039719805118328,1.7146863980272657,2.1199524389066244,1.0016151499453445,1.000805596125958,0.6093581622168058,0.9335372674893211
0.7090018931619075,2.1128577794039245,2.596747783603842,1.0017304964587466,1.001012227510422,0.9744928287226248,1.277133811334183
0.788332766829411,1.2470047762997385,2.0004396100457873,1.0001555797640136,1.0001555797640136,0.6152811906909227,0.8983398587359525
0.6179389932848419,2.381742844555298,2.4027033497513743,1.0004658674626346,1.0009425233614409,1.0324377825523428,1.0301135566640551
0.5621355264378166,2.2027314679249734,1.5245194306200047,1.0009299519290407,1.003999431525516,0.8950874803474281,0.5835573369299459
0.7564873348948361,2.2604460554858234,1.7602652883968697,1.002477229529195,1.0002457631399102,1.0381823859779877,0.7329515597611511
1.0082562493555556,1.9469496369249395,2.2510220091196547,1.0002905861397178,1.0001974471576687,1.0360942340267445,1.0700738670136167
0.4963313444932015,2.267339539961312,1.4483007546704165,1.0004276657838163,1.0005850745502913,0.9321003805813882,0.5752969746980698
1.0758382109945874,1.2308718644934489,1.9195407522944175,1.0015000644009455,1.0000262817094545,0.7915480786523702,1.144181111888929
1.0637624890657007,2.267464374969221,2.29629195583962,1.0000789024896184,1.0000789024896184,1.1179224585899334,1.3151845036333991
0.8375068816871136,1.3970917927093527,1.8299665329789263,1.0008144546714486,1.0006626366690314,0.6341990668534632,0.7682370945678093
0.7162723812096677,3.7667184646863827,1.8539903498564942,1.0028708906394161,1.001374074699734,1.4613020147157263,0.8492316996913449
0.7054935544298069,3.5814458424964237,1.4819136257484025,1.0011961242862328,1.0047611105377856,1.6992669264257914,0.7125744727399224
0.7164306946905531,1.3962881538633274,2.3979691344117247,1.0001089273779906,1.0001089273779906,0.6703486553799665,0.9639118127777963
0.6142640665806156,1.6405981459831,1.8695598821865855,1.0031291000770939,1.003080729848427,0.5825947302258621,0.9365627020688483
0.8639362681894309,1.9826746936721837,2.0500311698620908,1.0002023966288798,1.0017492078130996,1.1686100463749363,0.9597498035627005
1.1172379104264447,1.7949876565928264,2.7692938020622373,1.0007815881174154,1.0007815881174154,1.0745546047642147,1.3001594025124519
0.8640600962564756,2.3168131005414456,2.0811465613133744,1.0015663032175275,1.001560932223067,0.9581031149172242,0.9260723734509942
1.7186918885470834,5.977616827417514,2.984637150925031,1.0002913067450616,1.0002913067450616,3.231144098167975,1.9363889035945856
0.8676199447175841,1.84788980495426,2.690277167553074,1.0006374569726197,1.0001499838496153,0.9714201668210769,1.2219060780307849
1.0170387295236514,1.432720519771653,1.7167759230965915,1.0026012578774628,1.001700330743525,0.8450476094433418,0.9760057157427203
0.8245694554929396,1.40689390168732,1.9911138068642422,1.000153972742091,1.0000684481288513,0.6336245168426755,0.8755667661529101
0.860929351405772,1.740958961556798,1.685933161643339,1.0000826880810585,1.001988971028253,0.7683179245530155,0.7471561464378765
0.9222576490663612,2.170526855986244,1.7695392174342341,1.0007608203825489,1.0008495422458294,1.0189269075021237,0.7625308918366706
0.7337019979430117,3.91757065829527,2.4225507429705604,1.001151409977388,1.0017051889036115,1.5599500414817455,0.9412890877972865
